,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
174904,b29ec848-16c6-41e8-91b9-3e172ad6ced0,"A patient was treated with haloperidol, later he develops symptoms of Parkinsonism. What is the best treatment:",Cholinesterase inhibitors,Beta receptor antagonist,M1 muscarinic antagonist,Alpha 1 adrenergic antagonist,2,single,"- Extrapyramidal disturbances are the major dose-limiting side effects with high potency antipsychotics like fluphenazine, haloperidol, pimozide, etc. - The extrapyramidal effects may be categorized into: Parkinsonism Acute muscular dystonias Akathisia Malignant neuroleptic syndrome Tardive dyskinesia - Parkinsonism usually appears between 1-4 weeks of therapy and it persists untill dose is reduced. If that is not possible, one of the anticholinergic anti-parkinsonian drugs may be given concurrently. - The M1 antagonists are drug of choice for drug induced parkinsonism. (Benzhexol).",Pharmacology,ANS
175334,f532b438-499f-4393-a9b8-2f5ca7e40fcf,First line of treatment of osteoporosis in postmenopausal woman?,Estrogen,Calcium and vitamin D supplementation,Bisphosphonates,Ulipristal,0,single,"Hormone replacement therapy is cornerstone in both prophylaxis and treatment of osteoporosis in menopausal women. Estrogen delays and protects against osteoporosis by 50% in all skeletal and not limited to trabecular bones of spine, wrist and upper hip. Rest of the drugs used in H for osteoporosis are natural estrogens, progesterone, tibolone and raloxifene. Bisphosphonates may be used are primary treatment in late osteoporosis in postmenopausal women Bisphosphonates include: Alendronate, Risedronate, Ibandronate, Zoledronate. These agents chemically bind to calcium hydroxyapatite in bone and decrease bone resorption by blocking the function and survival but not the formation of osteoclast.",Gynaecology & Obstetrics,NEET Jan 2020
175905,f7dc75ac-54b4-49e8-b90c-1e1b67940764,"During the treatment of septic shock, a 28-year-old male remains hypotensive despite adequate volume replacement; PA occlusion pressure is 18 mm Hg. When dopamine is staed , ventricular tachycardia develops and this is unresponsive to lidocaine. The V-tach conves back to sinus rhythm once the dopamine is stopped. At this point, which of the following treatments are most appropriate for this hypotensive patient?",Amrinone,Dobutamine,Epinephrine,Phenylephrine,3,multi,"Dopamine activates b1-receptors and this was probably the reason for the arrhythmia. Amrinone will inhibit phosphodiesterase and result in an increased cyclic AMP level, producing the same result as b-receptor stimulation. Dobutamine and epinephrine also stimulate the b- receptors. The only choice which stimulates only a-adrenergic receptors is phenylephrine. Intraaoic balloon pump is invasive, therefore, less appropriate as a choice.",Surgery,Shock
176084,9ad9bf88-fb32-403b-9b5b-d441b22020ed,In community acquired pneumonia out patient treatment Is: (PGI June 2007),Azithromycin,Cepfotaxime,Ampicillin,Gentamicin,0,single,"Ans,: A (Azithromycin) As Q is mentioned only simple community acquired pneumonia (Not MRS A or Pseudomonas; so aminoglycosides & vancomycin are not given in answer), so give outpatient treatment given in Harr/son tableTable (Harrison 17th/1623): Empirical Antibiotic Treatment of Community'-Acquired PneumoniaOutpatientsPreviously healthy and no antibiotics in past 3 monthsA macrolide orDoxycycline (100 mg PO bid)Comorbidities or antibiotics in past 3 months: select an alternative from a different classA respiratory' fluoroquinolone orAb lactam plus a macrolideQIn regions with a high rate of ""high-level"" pneumococcal macrolide resistance/ consider alternatives listed above for patients with comorbidities.Inpatients, non-ICUA respiratory fluoroquinolone , gemifloxacin (320 mg PO od), levofloxacin (750 mg PO or IV od)]A biactam' plus a macrolidet Inpatients, ICUA biactam' (cefotaxime (1-2 g IV q8h), ceftriaxone (2 g IV od], ampicillin-sulbactam (2 g IV q8h}] plusAzithromycin or a fluoroquinolone (as listed above for inpatients. non-ICU)Special concernsIf Pseudomonas is a considerationAn antipneumococcal, antipseudomonal p lactam plus either ciprofloxacin (400 mg IV ql2h] or levofloxarin (750 mg IV od)The above piactams plus an aminoglycoside The above piactamsf plus an aminoglycoside plus an antipneumococcai fluoroquinoloneIf Community acquired -SIRSA is a considerationAdd Einezolid (600 mg IV ql2h) or vancomycin (1 g IV ql2h)",Medicine,"Pneumonia, Bronchiectasis, and Lung Abscess"
176248,3af57688-c929-49fa-ba1e-095a6ab7accf,Which of the following patient characteristics is a possible reason for the use of celecoxib in the treatment of arthritis ?,History of severe rash after treatment with a sulfonamide antibiotic,History of gout,History of peptic ulcer disease,History of type 2 DM,2,single,,Pharmacology,
176386,38bf209a-e3dc-45bf-8b8b-34a077b815cc,A 60 year old male was diagnosed as carcinoma right lung. CECT of the chest shows a tumor of 5x5 cm in upper lobe and another 2x2 cm size tumor nodule in middle lobe. Which of the following is the treatment of choice?,Surgery,Radiotherapy,Chemotherapy,Suppoive treatment,0,single,"Question does not indicate the type of lung cancer in the patient. Depending on the given size of the cancer (5cm) and absence of nodal involvement or metastasis, patient is in T2 N0 M0 or Stage I cancer. The current standard of treatment of stage I and II lung cancer is surgical resection, accomplished by lobectomy or pneumonectomy, depending on the tumor location. Ref: Schwaz's Principles of Surgery, 9th Edition, Chapter 19.",Surgery,
176409,6a680ad4-ba92-4be5-9959-5e79c900234d,Latest drug used for treatment of MDR TB patients is -,Bedaquiline,Amithiozone,Capreomycin,Linezolid,0,single,"Ans. is 'a' i.e., Bedaquiline Bedaquiline* It is a diaryl quinolone.* It acts by inhibiting M. tuberculosis adenosine triphosphate synthase.* It demonstrates significant potency against M. tuberculosis infection, both drug susceptible and multidrug resistant strains as well as many other mycobacteria.* It has potential to shorten the duration of drug therapy for management M. tuberculosis infection.* It is associated with nausea, increased QT interval.* FT, has approved bedaquiline for the management of drug resistant tuberculosis with a black box warning, relating to possible cardiac toxicity and sudden death.Note:DELAMANID:* It is also a new agent derived from nitrodihydro-imidazooxazole class of compounds.* It inhibits mycolic acid synthesis, and has shown potent in vitro and invivo activity against both drug susceptible and drug resistant M. tuberculosis strains.",Pharmacology,Anti Microbial
176587,46cbc6d5-0c35-49ef-8387-b24ee0f49d48,"A 14-year-old boy present with headache, fever, and cough for 2 days. Sputum is scant and non-purulent and gram stain reveals many white cells but no organisms. The treatment should be initiated with :",Cefazolin,Erythromycin,Amikacin,Trovafloxacin,1,single,,Pharmacology,
176696,b96591b3-0a21-4fe4-ab96-904eb193e1a1,"In a patient with multiple bilateral nasal polyps with X-ray showing opacity in the paranasal sinuses. The treatment consists of all of the following, except:",Epinephrine,Corticosteroids,Amphotericin-B,Antihistamines,0,multi,"Bilateral ethmoidal polypi are either the result of long-standing nasal allergy or fungal sinusitis. Opaque paranasal sinuses can result in both. Treatment therefore can include antihistamines, steroids and. if fungal, amphotericin-B. Epinephrine (adrenaline) has no role.",ENT,Nose and PNS
176951,b27085d6-bf74-4ea6-9348-5e1132c1972a,"A 38-year-old male presented with a suspected diagnosis of suppurate labyrinthitis. A positive Rinne's test and positive fistula test was recorded on initial examination. The patient refused treatment, and returned to the emergency depament after 2 weeks complaining of deafness in the affected ear. On examination, fistula test was observed to be negative. What is the likely expected finding on repeating the Rinne test?",True positive Rinne's test,False positive Rinne's test,True negative Rinne's test,False negative Rinne's test,3,multi,"In severe SNHL: Rinne's test is false negative and because labyrinth is dead. Fistula test is negative.False negative Rinne test occurs in case of severe SNHL because patient does not perceive any sound of tuning fork by air conduction but responds to bone conduction due to intracranial transmission of sound from opposite healthy ear.Fistula TestThe basis of this test is to induce nystagmus by producing pressure changes in the external canal which are then transmitted to the labyrinth. Stimulation of the labyrinth results in nystagmus and veigo. Normally the test is negative because the pressure changes in the EAC cannot be transmitted to the labyrinth.Positive Fistula Test is seen in:Erosion of horizontal semicircular canal (Cholesteatoma or fenestration operation)Abnormal opening in oval window (post stapedectomy fistula) or round window (rupture of round window).A positive fistula test also implies that the labyrinth is still functioning.False-negative fistula test: Dead labyrinth, cholesteatoma covering site of fistula.False-positive fistula test (Positive fistula test without Fistula): Congenital syphilis, 25% cases of Meniere's disease (Hennebe's sign.)OAE is considered as best screening test as it is less time consuming, easy to perform, child does not need to be sedated and results are available immediatelyAbsent OAE indicates cochlear lesion.If OAE are absent child is taken up for BERA which is confirmatory.",ENT,
